Scode,Year,Longitu,Latitu
SZ300118,2011,121.42961,29.28807
SZ300118,2012,121.42961,29.28807
SZ300118,2013,121.42961,29.28807
SZ300118,2014,121.42961,29.28807
SZ300118,2015,121.42961,29.28807
SZ300118,2016,121.42961,29.28807
SZ300118,2017,121.42961,29.28807
SZ300118,2018,121.42961,29.28807
SZ300118,2019,121.42961,29.28807
SZ300118,2020,121.42961,29.28807
SZ300118,2021,121.42961,29.28807
SZ300118,2022,121.42961,29.28807
SZ300118,2023,121.42961,29.28807
SZ300118,2024,121.42961,29.28807
SZ300125,2010,121.51844,38.970421
SZ300125,2011,121.51844,38.970421
SZ300125,2012,121.51844,38.970421
SZ300125,2013,121.51844,38.970421
SZ300125,2014,121.51844,38.970421
SZ300125,2015,121.51844,38.970421
SZ300125,2016,121.51844,38.970421
SZ300125,2017,121.51844,38.970421
SZ300125,2018,121.51844,38.970421
SZ300125,2019,121.51844,38.970421
SZ300125,2020,121.51844,38.970421
SZ300125,2021,121.51844,38.970421
SZ300125,2022,121.51844,38.970421
SZ300125,2023,121.51844,38.970421
SZ300125,2024,121.51844,38.970421
SZ300274,2011,117.26061,31.8512
SZ300274,2012,117.26061,31.8512
SZ300274,2013,117.26061,31.8512
SZ300274,2014,117.26061,31.8512
SZ300274,2015,117.26061,31.8512
SZ300274,2016,117.26061,31.8512
SZ300274,2017,117.26061,31.8512
SZ300274,2018,117.26061,31.8512
SZ300274,2019,117.26061,31.8512
SZ300274,2020,117.26061,31.8512
SZ300274,2021,117.26061,31.8512
SZ300274,2022,117.26061,31.8512
SZ300274,2023,117.26061,31.8512
SZ300274,2024,117.26061,31.8512
SZ300316,2012,120.86858,30.03227
SZ300316,2013,120.86858,30.03227
SZ300316,2014,120.86858,30.03227
SZ300316,2015,120.86858,30.03227
SZ300316,2016,120.86858,30.03227
SZ300316,2017,120.86858,30.03227
SZ300316,2018,120.86858,30.03227
SZ300316,2019,120.86858,30.03227
SZ300316,2020,120.86858,30.03227
SZ300316,2021,120.86858,30.03227
SZ300316,2022,120.86858,30.03227
SZ300316,2023,120.86858,30.03227
SZ300316,2024,120.801504,30.049946
SZ300393,2014,120.75224,31.65381
SZ300393,2015,120.75224,31.65381
SZ300393,2016,120.75224,31.65381
SZ300393,2017,120.75224,31.65381
SZ300393,2018,120.75224,31.65381
SZ300393,2019,120.75224,31.65381
SZ300393,2020,120.75224,31.65381
SZ300393,2021,120.75224,31.65381
SZ300393,2022,120.75224,31.65381
SZ300393,2023,120.75224,31.65381
SZ300393,2024,120.75224,31.65381
SZ300724,2018,114.24779,22.71991
SZ300724,2019,114.34632,22.69084
SZ300724,2020,114.34632,22.69084
SZ300724,2021,114.34632,22.69084
SZ300724,2022,114.34632,22.69084
SZ300724,2023,114.34632,22.69084
SZ300724,2024,114.34632,22.69084
SZ300751,2018,120.64517,31.13914
SZ300751,2019,120.64517,31.13914
SZ300751,2020,120.64517,31.13914
SZ300751,2021,120.64517,31.13914
SZ300751,2022,120.64517,31.13914
SZ300751,2023,120.64517,31.13914
SZ300751,2024,120.64517,31.13914
SZ300763,2019,121.86932,29.47665
SZ300763,2020,121.86932,29.47665
SZ300763,2021,121.86932,29.47665
SZ300763,2022,121.86932,29.47665
SZ300763,2023,121.86932,29.47665
SZ300763,2024,121.86932,29.47665
SZ300776,2019,114.418869,30.501167
SZ300776,2020,114.418869,30.501167
SZ300776,2021,114.418869,30.501167
SZ300776,2022,114.441383,30.485989
SZ300776,2023,114.418869,30.501167
SZ300776,2024,114.418869,30.501167
SZ300827,2020,120.29834,31.68096
SZ300827,2021,120.29834,31.68096
SZ300827,2022,120.29834,31.68096
SZ300827,2023,120.29834,31.68096
SZ300827,2024,120.29834,31.68096
SZ300842,2020,119.82346,31.34042
SZ300842,2021,119.82346,31.34042
SZ300842,2022,119.82346,31.34042
SZ300842,2023,119.82346,31.34042
SZ300842,2024,119.82346,31.34042
SH600151,2000,121.54409,31.22114
SH600151,2001,121.54409,31.22114
SH600151,2002,121.54409,31.22114
SH600151,2003,121.54409,31.22114
SH600151,2004,121.54409,31.22114
SH600151,2005,121.54409,31.22114
SH600151,2006,121.54409,31.22114
SH600151,2007,121.54409,31.22114
SH600151,2008,121.54409,31.22114
SH600151,2009,121.54409,31.22114
SH600151,2010,121.54409,31.22114
SH600151,2011,121.54409,31.22114
SH600151,2012,121.54409,31.22114
SH600151,2013,121.54409,31.22114
SH600151,2014,121.54409,31.22114
SH600151,2015,121.54409,31.22114
SH600151,2016,121.54409,31.22114
SH600151,2017,121.54409,31.22114
SH600151,2018,121.54409,31.22114
SH600151,2019,121.54409,31.22114
SH600151,2020,121.54409,31.22114
SH600151,2021,121.54409,31.22114
SH600151,2022,121.54409,31.22114
SH600151,2023,121.54409,31.22114
SH600151,2024,121.54409,31.22114
SH600207,2000,113.599854,34.739628
SH600207,2001,114.315659,36.091381
SH600207,2002,114.315659,36.091381
SH600207,2003,114.315659,36.091381
SH600207,2004,114.315659,36.091381
SH600207,2005,114.315659,36.091381
SH600207,2006,114.315659,36.091381
SH600207,2007,114.315659,36.091381
SH600207,2008,114.315659,36.091381
SH600207,2009,114.315659,36.091381
SH600207,2010,114.315659,36.091381
SH600207,2011,114.315659,36.091381
SH600207,2012,114.315659,36.091381
SH600207,2013,114.315659,36.091381
SH600207,2014,114.315659,36.091381
SH600207,2015,114.315659,36.091381
SH600207,2016,114.315659,36.091381
SH600207,2017,114.315659,36.091381
SH600207,2018,114.315659,36.091381
SH600207,2019,114.315659,36.091381
SH600207,2020,114.315659,36.091381
SH600207,2021,114.315659,36.091381
SH600207,2022,114.315659,36.091381
SH600207,2023,114.315659,36.091381
SH600207,2024,114.315659,36.091381
SH600438,2003,104.056679,30.629288
SH600438,2004,104.056679,30.629288
SH600438,2005,104.056679,30.629288
SH600438,2006,104.056679,30.629288
SH600438,2007,104.056679,30.629288
SH600438,2008,104.056679,30.629288
SH600438,2009,104.056679,30.629288
SH600438,2010,104.056679,30.629288
SH600438,2011,104.056679,30.629288
SH600438,2012,104.056679,30.629288
SH600438,2013,104.056679,30.629288
SH600438,2014,104.056679,30.629288
SH600438,2015,104.056679,30.629288
SH600438,2016,104.056679,30.629288
SH600438,2017,104.056679,30.629288
SH600438,2018,104.056679,30.629288
SH600438,2019,104.056679,30.629288
SH600438,2020,104.056679,30.629288
SH600438,2021,104.056679,30.629288
SH600438,2022,104.056679,30.629288
SH600438,2023,104.056679,30.629288
SH600438,2024,104.056679,30.629288
SH600481,2003,120.28432,31.91919
SH600481,2004,120.28432,31.91919
SH600481,2005,120.28432,31.91919
SH600481,2006,120.28432,31.91919
SH600481,2007,120.28432,31.91919
SH600481,2008,120.28432,31.91919
SH600481,2009,120.28432,31.91919
SH600481,2010,120.28432,31.91919
SH600481,2011,120.28432,31.91919
SH600481,2012,120.28432,31.91919
SH600481,2013,120.28432,31.91919
SH600481,2014,120.28432,31.91919
SH600481,2015,120.28432,31.91919
SH600481,2016,120.28432,31.91919
SH600481,2017,120.28432,31.91919
SH600481,2018,120.28432,31.91919
SH600481,2019,120.28432,31.91919
SH600481,2020,120.28432,31.91919
SH600481,2021,120.28432,31.91919
SH600481,2022,120.28432,31.91919
SH600481,2023,120.28432,31.91919
SH600481,2024,120.28432,31.91919
SH600537,2003,121.26647,30.16964
SH600537,2004,121.26647,30.16964
SH600537,2005,121.26647,30.16964
SH600537,2006,121.26647,30.16964
SH600537,2007,121.26647,30.16964
SH600537,2008,121.26647,30.16964
SH600537,2009,121.26647,30.16964
SH600537,2010,121.26647,30.16964
SH600537,2011,121.26647,30.16964
SH600537,2012,121.26647,30.16964
SH600537,2013,121.26647,30.16964
SH600537,2014,121.26647,30.16964
SH600537,2015,121.26647,30.16964
SH600537,2016,121.26647,30.16964
SH600537,2017,121.26647,30.16964
SH600537,2018,121.26647,30.16964
SH600537,2019,121.26647,30.16964
SH600537,2020,121.26647,30.16964
SH600537,2021,121.26647,30.16964
SH600537,2022,121.26647,30.16964
SH600537,2023,121.26647,30.16964
SH600537,2024,121.26647,30.16964
SH600732,2000,121.54409,31.22114
SH600732,2001,121.54409,31.22114
SH600732,2002,121.54409,31.22114
SH600732,2003,121.54409,31.22114
SH600732,2004,121.54409,31.22114
SH600732,2005,121.54409,31.22114
SH600732,2006,121.54409,31.22114
SH600732,2007,121.54409,31.22114
SH600732,2008,121.54409,31.22114
SH600732,2009,121.54409,31.22114
SH600732,2010,121.46904,31.245178
SH600732,2011,121.46904,31.245178
SH600732,2012,121.46904,31.245178
SH600732,2013,121.46904,31.245178
SH600732,2014,121.46904,31.245178
SH600732,2015,121.46904,31.245178
SH600732,2016,121.46904,31.245178
SH600732,2017,121.54409,31.22114
SH600732,2018,121.54409,31.22114
SH600732,2019,121.54409,31.22114
SH600732,2020,121.54409,31.22114
SH600732,2021,121.54409,31.22114
SH600732,2022,121.54409,31.22114
SH600732,2023,121.54409,31.22114
SH600732,2024,121.54409,31.22114
SH600876,2000,112.42788,34.66047
SH600876,2001,112.42788,34.66047
SH600876,2002,112.42788,34.66047
SH600876,2003,112.42788,34.66047
SH600876,2004,112.42788,34.66047
SH600876,2005,112.42788,34.66047
SH600876,2006,112.42788,34.66047
SH600876,2007,112.42788,34.66047
SH600876,2008,112.42788,34.66047
SH600876,2009,112.42788,34.66047
SH600876,2010,112.42788,34.66047
SH600876,2011,112.42788,34.66047
SH600876,2012,112.42788,34.66047
SH600876,2013,112.42788,34.66047
SH600876,2014,112.42788,34.66047
SH600876,2015,112.42788,34.66047
SH600876,2016,112.42788,34.66047
SH600876,2017,112.42788,34.66047
SH600876,2018,112.42788,34.66047
SH600876,2019,112.42788,34.66047
SH600876,2020,112.42788,34.66047
SH600876,2021,112.42788,34.66047
SH600876,2022,112.42788,34.66047
SH600876,2023,112.42788,34.66047
SH600876,2024,112.448745,34.677715
SH601012,2012,109.106781,34.07608
SH601012,2013,109.106781,34.07608
SH601012,2014,109.106781,34.07608
SH601012,2015,109.106781,34.07608
SH601012,2016,109.106781,34.07608
SH601012,2017,109.106781,34.07608
SH601012,2018,109.106781,34.07608
SH601012,2019,109.106781,34.07608
SH601012,2020,109.106781,34.07608
SH601012,2021,109.106781,34.07608
SH601012,2022,109.106781,34.07608
SH601012,2023,109.106781,34.07608
SH601012,2024,109.106781,34.07608
SH601865,2018,120.755287,30.808035
SH601865,2019,120.755287,30.808035
SH601865,2020,120.755287,30.808035
SH601865,2021,120.755287,30.808035
SH601865,2022,120.755287,30.808035
