0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10
2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8
10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0,10,8,0,15,10,5,8,12,9,6,30,10,8,15,16,15,10,15,8,10,5,0,12,8,15,12,5.64516129032258,10,4,10,9,0
25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15,25,23,15,0,25,20,23,27,24,21,15,25,23,30,31,30,5,30,23,5,20,15,27,23,30,27,20.6451612903226,25,19,25,24,15
0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10,0,2,10,25,0,5,2,2,1,4,40,0,2,5,6,5,20,5,2,20,5,10,2,2,5,2,4.35483870967742,0,6,0,1,10
5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5,5,3,5,20,5,0,3,7,4,1,35,5,3,10,11,10,15,10,3,15,0,5,7,3,10,7,0.64516129032258,5,1,5,4,5
2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8,2,0,8,23,2,3,0,4,1,2,38,2,0,7,8,7,18,7,0,18,3,8,4,0,7,4,2.35483870967742,2,4,2,1,8
2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12,2,4,12,27,2,7,4,0,3,6,42,2,4,3,4,3,22,3,4,22,7,12,0,4,3,0,6.35483870967742,2,8,2,3,12
1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9,1,1,9,24,1,4,1,3,0,3,39,1,1,6,7,6,19,6,1,19,4,9,3,1,6,3,3.35483870967742,1,5,1,0,9
4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6,4,2,6,21,4,1,2,6,3,0,36,4,2,9,10,9,16,9,2,16,1,6,6,2,9,6,0.35483870967742,4,2,4,3,6
